player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Jean-Ricner Bellegarde,Haiti,Haiti,MF,27-363,1998,Wolves,3,3,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.08,0.0,0.0,,87.0,96.3,87.0,2,0,,0,0.0,2.0,8.0,-6.0,-2.08,-2.08,0.0,4.0,5.0,0.0,10.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Johny Placide,Haiti,Haiti,GK,38-147,1988,Bastia,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,3,0,,0,0.0,2.0,8.0,-6.0,-2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.0,3.0,270.0,8.0,2.67,19.0,11.0,57.9,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
Josué Casimir,Haiti,Haiti,MF,24-274,2001,Auxerre,3,2,182.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.49,0.0,0.0,,61.0,67.4,76.0,1,1,30.0,0,0.0,2.0,7.0,-5.0,-2.47,-1.45,0.0,4.0,4.0,0.0,3.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Josué Duverger,Haiti,Haiti,GK,26-059,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeto Thermoncy,Haiti,Haiti,DF,20-088,2006,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenny Joseph,Haiti,Haiti,FW,25-256,2000,Ferencváros,3,1,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.54,0.0,0.0,,39.0,43.3,82.0,0,2,18.0,0,0.0,2.0,3.0,-1.0,-0.77,2.17,0.0,6.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Louicius Deedson,Haiti,Haiti,MF,25-134,2001,FC Dallas,3,1,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.61,0.0,0.0,,37.0,41.5,60.0,0,2,26.0,0,0.0,0.0,3.0,-3.0,-2.41,-0.7,0.0,3.0,1.0,1.0,4.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Martin Expérience,Haiti,Haiti,"DF,MF",27-108,1999,Nancy,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,,90.0,100.0,90.0,3,0,,0,0.0,2.0,8.0,-6.0,-2.0,,0.0,7.0,6.0,0.0,6.0,4.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,
Ricardo Adé,Haiti,Haiti,DF,36-035,1990,LDU Quito,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,1.33,0.33,0.0,0.0,90.0,100.0,90.0,3,0,,0,0.0,2.0,8.0,-6.0,-2.0,,0.0,6.0,4.0,0.0,1.0,5.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Ruben Providence,Haiti,Haiti,MF,24-353,2001,Almere City,3,3,220.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,1.64,0.41,0.0,0.0,73.0,81.5,73.0,0,0,,0,0.0,2.0,6.0,-4.0,-1.64,1.96,0.0,3.0,5.0,0.0,6.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Wilguens Paugain,Haiti,Haiti,DF,24-305,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson Isidor,Haiti,Haiti,FW,25-302,2000,Sunderland,3,2,186.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,5.0,2.0,40.0,2.42,0.97,0.2,0.5,62.0,68.9,71.0,0,1,45.0,0,0.0,2.0,3.0,-1.0,-0.48,4.87,0.0,3.0,2.0,1.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Woodensky Pierre,Haiti,Haiti,MF,21-177,2004,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yassin Fortuné,Haiti,Haiti,"FW,MF",27-146,1999,,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,6.0,2.2,,0,1,6.0,2,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Alipour,IR Iran,Iran,FW,30-226,1995,Persepolis,1,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.37,0.0,0.0,,38.0,21.1,,0,1,38.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Nemati,IR Iran,Iran,DF,30-137,1996,Foolad,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,,90.0,100.0,90.0,2,0,,0,1.0,2.0,2.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Alireza Beiranvand,IR Iran,Iran,GK,33-277,1992,Tractor,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,1.0,2.0,2.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,180.0,2.0,1.0,15.0,13.0,86.7,0.0,2.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,
Alireza Jahanbakhsh,IR Iran,Iran,"FW,MF",32-318,1993,Dender,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,45.0,25.0,,0,1,45.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Amirhossein Hosseinzadeh,IR Iran,Iran,FW,25-238,2000,Tractor,2,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.29,0.0,0.0,,9.0,9.4,,0,2,9.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Amirmohammad Razzaghinia,IR Iran,Iran,MF,20-075,2006,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aria Yousefi,IR Iran,Iran,MF,24-064,2002,Sepahan,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,45.0,25.0,45.0,0,0,,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Danial Eiri,IR Iran,Iran,DF,22-242,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Eckert,IR Iran,Iran,FW,29-167,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ehsan Hajsafi,IR Iran,Iran,DF,36-120,1990,Sepahan,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.99,0.0,0.0,,46.0,50.6,65.0,0,1,26.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Hossein Hosseini,IR Iran,Iran,GK,33-360,1992,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hossein Kanaanizadegan,IR Iran,Iran,DF,32-094,1994,Persepolis,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,90.0,50.0,90.0,1,0,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mehdi Ghayedi,IR Iran,Iran,FW,27-202,1998,,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,45.0,25.0,,0,1,45.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mehdi Taremi,IR Iran,Iran,FW,33-342,1992,Olympiacos,2,2,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,1.6,0.53,0.0,0.0,85.0,93.9,85.0,1,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mehdi Torabi,IR Iran,Iran,MF,31-288,1994,Tractor,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,25.0,13.9,,0,1,25.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Milad Mohammadi,IR Iran,Iran,DF,32-269,1993,Persepolis,2,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,58.0,63.9,90.0,1,1,25.0,0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Mohammad Ghorbani,IR Iran,Iran,MF,25-035,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Mohebi,IR Iran,Iran,MF,27-187,1998,Rostov,2,2,155.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,2.0,1.0,50.0,1.16,0.58,0.5,1.0,78.0,86.1,78.0,1,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Payam Niazmand,IR Iran,Iran,GK,31-080,1995,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramin Rezaeian,IR Iran,Iran,"MF,DF",36-096,1990,Foolad,2,2,180.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,100.0,0.5,0.5,1.0,1.0,90.0,100.0,90.0,2,0,,0,1.0,2.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,14.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Rouzbeh Cheshmi,IR Iran,Iran,"DF,MF",32-336,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saeid Ezatolahi,IR Iran,Iran,MF,29-267,1996,,2,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,2.07,1.03,0.0,0.0,87.0,96.7,87.0,1,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Saleh Hardani,IR Iran,Iran,DF,27-181,1998,Esteghlal,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,45.0,25.0,45.0,0,0,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Saman Ghoddos,IR Iran,Iran,MF,32-292,1993,,2,2,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.27,0.0,0.0,,71.0,78.9,71.0,0,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Shahriar Moghanlou,IR Iran,Iran,FW,31-186,1994,,2,1,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.22,0.0,0.0,,32.0,35.6,52.0,0,1,12.0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Shoja' Khalilzadeh,IR Iran,Iran,DF,37-042,1989,Tractor,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,,90.0,100.0,90.0,2,0,,0,1.0,2.0,2.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Ahmed Basil,Iraq,Iraq,GK,29-310,1996,,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,50.0,90.0,1,0,,1,0.0,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ahmed Maknzi,Iraq,Iraq,DF,24-274,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed Qasem,Iraq,Iraq,FW,22-348,2003,Nashville SC,2,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,54.0,60.0,90.0,1,1,18.0,0,0.0,0.0,5.0,-5.0,-4.17,-2.92,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Aimar Sher,Iraq,Iraq,MF,23-187,2002,Sarpsborg 08,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,23.0,12.8,,0,1,23.0,1,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Akam Hashim,Iraq,Iraq,DF,27-313,1998,,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,,90.0,100.0,90.0,2,0,,0,0.0,1.0,7.0,-6.0,-3.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Al Hamadi,Iraq,Iraq,FW,24-116,2002,Ipswich Town,2,1,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.39,0.0,0.0,,62.0,68.3,58.0,0,1,65.0,0,0.0,1.0,4.0,-3.0,-2.2,2.54,0.0,1.0,3.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Jasim,Iraq,Iraq,MF,22-156,2004,Al-Najma,1,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,72.0,40.0,72.0,0,0,,1,0.0,1.0,2.0,-1.0,-1.25,2.92,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Yousif,Iraq,Iraq,FW,30-157,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Al Ammari,Iraq,Iraq,MF,28-333,1997,Cracovia,2,2,157.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.57,0.57,0.0,0.57,0.0,0.0,,0.0,0.0,,,79.0,87.2,79.0,1,0,,0,0.0,1.0,7.0,-6.0,-3.44,-3.44,0.0,2.0,0.0,0.0,6.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ayman Hussein,Iraq,Iraq,FW,30-095,1996,,2,2,115.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,0.78,0.78,0.78,3.0,1.0,33.3,2.35,0.78,0.33,1.0,58.0,63.9,58.0,1,0,,0,0.0,1.0,5.0,-4.0,-3.13,-0.36,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,
Fahad Talib,Iraq,Iraq,GK,31-247,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frans Dhia Putros,Iraq,Iraq,DF,32-346,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussein Ali,Iraq,Iraq,DF,24-116,2002,Pogoń Szczecin,2,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.56,0.0,0.0,,81.0,90.0,81.0,1,0,,0,0.0,1.0,5.0,-4.0,-2.22,7.78,0.0,1.0,0.0,1.0,1.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Ibrahim Bayesh,Iraq,Iraq,"MF,FW",26-055,2000,,2,2,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.62,0.0,0.0,,73.0,80.6,73.0,0,0,,0,0.0,1.0,6.0,-5.0,-3.1,-0.53,0.0,1.0,2.0,0.0,4.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Jalal Hassan,Iraq,Iraq,GK,35-038,1991,,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,50.0,90.0,1,0,,1,0.0,1.0,4.0,-3.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,4.0,4.0,6.0,2.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kevin Yakob,Iraq,Iraq,MF,25-258,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manaf Younis,Iraq,Iraq,DF,29-221,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Farji,Iraq,Iraq,MF,22-101,2004,Venezia,2,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,27.0,30.0,,0,2,27.0,0,0.0,0.0,2.0,-2.0,-3.33,-0.48,0.0,0.0,2.0,0.0,2.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Merchas Doski,Iraq,Iraq,DF,26-200,1999,Viktoria Plzeň,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,0.0,1.0,7.0,-6.0,-3.0,,0.0,1.0,6.0,0.0,4.0,5.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,
Mohanad Ali,Iraq,Iraq,FW,26-005,2000,,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,13.0,7.2,,0,1,13.0,1,0.0,0.0,1.0,-1.0,-6.92,-4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mustafa Saadoon,Iraq,Iraq,DF,25-031,2001,,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,18.0,10.0,,0,1,18.0,1,0.0,0.0,2.0,-2.0,-10.0,-7.78,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Rebin Sulaka,Iraq,Iraq,DF,34-074,1992,,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9,0.0,0.0,,31.0,17.2,,0,1,31.0,1,0.0,0.0,1.0,-1.0,-2.9,0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Youssef Amyn,Iraq,Iraq,MF,22-308,2003,,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,31.0,17.2,,0,1,31.0,1,0.0,0.0,1.0,-1.0,-2.9,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Zaid Ismail,Iraq,Iraq,MF,24-173,2002,,2,2,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,59.0,65.0,59.0,0,0,,0,0.0,1.0,4.0,-3.0,-2.31,1.98,0.0,2.0,0.0,0.0,0.0,1.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Zaid Tahseen,Iraq,Iraq,DF,25-147,2001,,2,2,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.21,0.0,0.0,,75.0,82.8,75.0,1,0,,0,0.0,1.0,6.0,-5.0,-3.02,-0.12,0.0,3.0,2.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Zidane Iqbal,Iraq,Iraq,MF,23-059,2003,Utrecht,2,1,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,61.0,67.8,90.0,1,1,32.0,0,0.0,0.0,5.0,-5.0,-3.69,-2.14,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ao Tanaka,Japan,Japan,MF,27-288,1998,Leeds United,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,50.0,90.0,1,0,,1,3.0,4.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Ayase Ueda,Japan,Japan,FW,27-288,1998,Feyenoord,2,2,166.0,1.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.08,0.54,1.63,1.08,1.63,6.0,3.0,50.0,3.25,1.63,0.33,0.67,83.0,92.2,83.0,0,0,,0,2.0,5.0,2.0,3.0,1.63,-4.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ayumu Seko,Japan,Japan,"DF,MF",26-018,2000,Le Havre,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,12.0,6.7,,0,1,12.0,1,3.0,1.0,0.0,1.0,7.5,5.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Daichi Kamada,Japan,Japan,MF,29-324,1996,Crystal Palace,2,2,162.0,1.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.11,0.0,1.11,1.11,1.11,2.0,2.0,100.0,1.11,1.11,1.0,1.0,81.0,90.0,81.0,1,0,,0,2.0,5.0,2.0,3.0,1.67,-3.33,0.0,0.0,1.0,0.0,2.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
